log_fci_size,one_norm,total_pstrings,n_qubits,n_elec,max_vertex_deg,min_vertex_deg,avg_vertex_deg,vertex_deg_std_dev,avg_edge_order,edge_order_std_dev,max_edge_weight,min_edge_weight,avg_edge_weight,edge_weight_std_dev,cisd,mp2,ccsd,ccsdt
27.96888576,279.3573794,28469,28,14,16189,3651,13612.57143,3663.981221,13.38831712,5.616473396,102.2156122,2.26E-08,0.009812687,0.618677851,FALSE,FALSE,FALSE,FALSE
13.34912278,172.1233148,769,12,10,497,269,425,74.29670248,6.631989597,2.946610549,74.60505219,5.98E-07,0.223827457,2.879464711,TRUE,FALSE,TRUE,TRUE
15.01318356,63.66362542,1893,16,8,1145,445,969.75,235.2422953,8.196513471,3.314385953,23.27223371,1.68E-06,0.033631075,0.550112008,FALSE,FALSE,FALSE,FALSE
6.66440902,14.64573261,381,8,4,267,159,235,39.8246155,4.934383202,1.680019669,6.099420211,1.09E-08,0.038440243,0.327281465,TRUE,TRUE,TRUE,TRUE
19.29770667,122.9169541,8369,20,10,4975,1591,4202.8,1038.848767,10.04373282,3.902687625,40.88747347,1.01E-08,0.014687173,0.458177478,FALSE,FALSE,FALSE,FALSE
19.29770667,125.3815283,4737,20,10,2797,773,2140.4,659.7851468,9.036943213,4.203262174,46.93282437,1.14E-08,0.026468551,0.699990579,FALSE,FALSE,FALSE,FALSE
10.78725509,29.9358978,769,12,6,497,155,329,143.1642413,5.133940182,1.827119843,11.38298728,1.79E-05,0.038928346,0.426601,TRUE,FALSE,TRUE,TRUE
10.78725509,55.36906845,769,12,6,497,269,417,73.21202087,6.507152146,2.928318011,23.1330657,3.12E-05,0.072001389,0.889168137,TRUE,FALSE,TRUE,TRUE
2.772588722,3.137752791,17,4,2,11,11,11,0,2.588235294,1.416658186,1.267586541,0.049580187,0.184573694,0.283047,TRUE,FALSE,TRUE,TRUE
23.62006596,186.110455,12917,24,12,7765,1619,6128.166667,1926.908657,11.38623519,4.538107104,63.30784508,7.78E-07,0.01440818,0.56952224,FALSE,FALSE,TRUE,TRUE
6.66440902,12.54739385,433,8,4,301,191,268,45.13313639,4.951501155,1.659169722,4.727837233,1.14E-07,0.028977815,0.238125361,FALSE,TRUE,TRUE,TRUE
15.01318356,70.84407367,4589,16,8,2823,1111,2393.25,517.4272292,8.344301591,3.291596155,27.50819882,1.01E-08,0.015437802,0.419029403,TRUE,FALSE,TRUE,TRUE
21.13028813,180.7825032,5591,20,12,3279,843,2643.8,726.7526127,9.457342157,3.984893135,73.35425643,2.48E-08,0.032334556,1.01894905,FALSE,FALSE,FALSE,FALSE
10.78725509,27.34633487,1329,12,6,901,385,747,147.7520445,6.744920993,2.581774434,10.28453282,1.02E-08,0.020576625,0.292034091,TRUE,FALSE,TRUE,TRUE
19.29770667,129.4307327,6585,20,10,4129,1137,3430.6,879.6002729,10.41943812,4.144568802,49.63176221,4.43E-06,0.019655388,0.628508957,TRUE,FALSE,TRUE,TRUE
6.66440902,11.04231212,225,8,4,155,83,120.5,29.42362996,4.284444444,1.534485879,4.34293978,1.84E-08,0.049076943,0.300879895,FALSE,TRUE,TRUE,TRUE
2.772588722,3.430585141,17,4,2,11,11,11,0,2.588235294,1.416658186,1.458366017,0.004537173,0.201799126,0.331650416,TRUE,TRUE,TRUE,TRUE
22.51658249,276.0710824,7477,20,14,4495,1495,3550.8,863.2197634,9.497926976,4.392280148,108.6463932,4.58E-08,0.036922707,1.300837593,FALSE,FALSE,FALSE,FALSE
27.96888576,315.3800063,36989,28,14,21055,4645,17380.28571,4941.734722,13.15656006,5.602344127,106.0916735,5.04E-08,0.008526319,0.562593899,FALSE,FALSE,TRUE,TRUE
27.96888576,170.677358,18777,28,14,10659,2373,8495.857143,2532.40859,12.66890345,5.464203119,59.59718588,1.04E-08,0.009089703,0.442810373,FALSE,FALSE,FALSE,FALSE
15.01318356,86.06629772,3905,16,8,2401,967,2028,461.7499323,8.309346991,3.566608148,28.01964217,3.28E-08,0.022040025,0.462058233,TRUE,FALSE,TRUE,TRUE
6.66440902,12.68979569,201,8,4,135,91,113,22,4.497512438,1.555361064,5.031966698,0.001074779,0.063133312,0.369248454,TRUE,TRUE,TRUE,TRUE
19.29770667,57.13032216,9881,20,10,5875,1247,4169.8,1723.533394,8.440036434,3.342214822,17.40286391,1.05E-08,0.005781836,0.178772742,FALSE,FALSE,FALSE,FALSE
